Time,Channel A
(s),(V)

0.00000000,-0.01907407
0.06666670,-0.01373333
0.13333340,-0.01800592
0.20000010,-0.01602222
0.26666680,-0.01388592
0.33333350,-0.01815851
0.40000020,-0.01510666
0.46666690,-0.01785333
0.53333360,-0.01846370
0.60000030,-0.01754814
0.66666700,-0.01556444
0.73333370,-0.01983703
0.80000040,-0.01693777
0.86666710,-0.01480148
0.93333380,-0.01861629
1.00000050,-0.01525925
1.06666720,-0.01693777
1.13333390,-0.01663259
1.20000060,-0.01724296
1.26666730,-0.01312296
1.33333400,-0.01312296
1.40000070,-0.01648000
1.46666740,-0.01754814
1.53333410,-0.01876888
1.60000080,-0.01693777
1.66666750,-0.01190222
1.73333420,-0.01632740
1.80000090,-0.01663259
1.86666760,-0.01861629
1.93333430,-0.01770074
2.00000100,-0.01754814
2.06666770,-0.01403851
2.13333440,-0.01907407
2.20000110,-0.01663259
2.26666780,-0.01297037
2.33333450,-0.01785333
2.40000120,-0.01556444
2.46666790,-0.01327555
2.53333460,-0.01846370
2.60000130,-0.01510666
2.66666800,-0.01525925
2.73333470,-0.01770074
2.80000140,-0.01495407
2.86666810,-0.01693777
2.93333480,-0.01800592
3.00000150,-0.01617481
3.06666820,-0.01541185
3.13333490,-0.01663259
3.20000160,-0.01556444
3.26666830,-0.01495407
3.33333500,-0.01632740
3.40000170,-0.01525925
3.46666840,-0.01541185
3.53333510,-0.01815851
3.60000180,-0.01602222
3.66666850,-0.01571703
3.73333520,-0.02044740
3.80000190,-0.01739555
3.86666860,-0.01495407
3.93333530,-0.01800592
4.00000200,-0.01419111
4.06666870,-0.01403851
4.13333540,-0.01770074
4.20000210,-0.01052889
4.26666880,-0.01617481
4.33333550,-0.01602222
4.40000220,-0.01510666
4.46666890,-0.01632740
4.53333560,-0.01800592
4.60000230,-0.01419111
4.66666900,-0.01663259
4.73333570,-0.01541185
4.80000240,-0.01556444
4.86666910,-0.01648000
4.93333580,-0.01846370
5.00000250,-0.01251259
5.06666920,-0.01480148
5.13333590,-0.01632740
5.20000260,-0.01266518
5.26666930,-0.01495407
5.33333600,-0.01144444
5.40000270,-0.01617481
5.46666940,-0.01495407
5.53333610,-0.01556444
5.60000280,-0.01312296
5.66666950,-0.01495407
5.73333620,-0.01815851
5.80000290,-0.01266518
5.86666960,-0.01480148
5.93333630,-0.01724296
6.00000300,-0.01419111
6.06666970,-0.01678518
6.13333640,-0.01602222
6.20000309,-0.01022370
6.26666979,-0.01602222
6.33333649,-0.01541185
6.40000319,-0.01327555
6.46666989,-0.01480148
6.53333659,-0.01388592
6.60000329,-0.01251259
6.66666999,-0.01525925
6.73333669,-0.01449629
6.80000339,-0.01434370
6.86667009,-0.01602222
6.93333679,-0.01541185
7.00000349,-0.01190222
7.06667019,-0.01617481
7.13333689,-0.01388592
7.20000359,-0.01251259
7.26667029,-0.01388592
7.33333699,-0.01388592
7.40000369,-0.00885037
7.46667039,-0.01678518
7.53333709,-0.01449629
7.60000379,-0.01541185
7.66667049,-0.01770074
7.73333719,-0.01480148
7.80000389,-0.01068148
7.86667059,-0.01892148
7.93333729,-0.01449629
8.00000399,-0.01236000
8.06667069,-0.01541185
8.13333739,-0.01480148
8.20000409,-0.01174963
8.26667079,-0.01541185
8.33333749,-0.01419111
8.40000419,-0.00961333
8.46667089,-0.01770074
8.53333759,-0.01510666
8.60000429,-0.01037629
8.66667099,-0.01571703
8.73333769,-0.01449629
8.80000439,-0.01266518
8.86667109,-0.01510666
8.93333779,-0.01403851
9.00000449,-0.01388592
9.06667119,-0.01449629
9.13333789,-0.01510666
9.20000459,-0.01373333
9.26667129,-0.01648000
9.33333799,-0.01525925
9.40000469,-0.01068148
9.46667139,-0.01373333
9.53333809,-0.01495407
9.60000479,-0.00900296
9.66667149,-0.01449629
9.73333819,-0.01419111
9.80000489,-0.00961333
9.86667159,-0.01648000
9.93333829,-0.01266518
10.00000499,-0.01083407
10.06667169,-0.01678518
10.13333839,-0.01373333
10.20000509,-0.01663259
10.26667179,-0.01648000
10.33333849,-0.01297037
10.40000519,-0.01022370
10.46667189,-0.01663259
10.53333859,-0.01449629
10.60000529,-0.01449629
10.66667199,-0.01525925
10.73333869,-0.01312296
10.80000539,-0.01297037
