Time,Channel A
(s),(V)

0.00000000,0.00183111
0.03333340,-0.00259407
0.06666680,-0.00396741
0.10000021,0.00061037
0.13333361,-0.00106815
0.16666701,-0.00305185
0.20000041,0.00457778
0.23333381,-0.00259407
0.26666722,-0.00320444
0.30000062,-0.00091556
0.33333402,-0.00442518
0.36666742,-0.00259407
0.40000083,-0.00167852
0.43333423,-0.00259407
0.46666763,-0.00274667
0.50000103,-0.00259407
0.53333443,-0.00518815
0.56666784,-0.00412000
0.60000124,-0.00274667
0.63333464,-0.00350963
0.66666804,-0.00579852
0.70000144,-0.00305185
0.73333485,-0.00350963
0.76666825,-0.00442518
0.80000165,-0.00061037
0.83333505,-0.00579852
0.86666846,-0.00442518
0.90000186,-0.00137333
0.93333526,-0.00396741
0.96666866,-0.00595111
1.00000206,-0.00289926
1.03333547,-0.00595111
1.06666887,-0.00457778
1.10000227,-0.00503555
1.13333567,-0.00808741
1.16666907,-0.00640889
1.20000248,-0.00106815
1.23333588,-0.00839259
1.26666928,-0.00595111
1.30000268,-0.00564592
1.33333609,-0.00579852
1.36666949,-0.00534074
1.40000289,-0.00442518
1.43333629,-0.00885037
1.46666969,-0.00595111
1.50000310,-0.00442518
1.53333650,-0.01281777
1.56666990,-0.00595111
1.60000330,-0.00198370
1.63333670,-0.00701926
1.66667011,-0.00534074
1.70000351,-0.00183111
1.73333691,-0.00228889
1.76667031,-0.00289926
1.80000371,-0.00198370
1.83333712,-0.00183111
1.86667052,-0.00213630
1.90000392,-0.00350963
1.93333732,-0.00198370
1.96667073,-0.00045778
2.00000413,-0.00473037
2.03333753,-0.00305185
2.06667093,-0.00381481
2.10000433,-0.00213630
2.13333774,-0.00762963
2.16667114,-0.00167852
2.20000454,0.00015259
2.23333794,-0.00762963
2.26667134,0.00183111
2.30000475,0.00518815
2.33333815,-0.00228889
2.36667155,0.00152593
2.40000495,0.00412000
2.43333836,0.00534074
2.46667176,0.00213630
2.50000516,0.00503555
2.53333856,-0.00091556
2.56667196,0.00366222
2.60000537,0.00732444
2.63333877,0.00305185
2.66667217,0.00289926
2.70000557,0.00946074
2.73333897,0.00289926
2.76667238,0.00381481
2.80000578,0.00427259
2.83333918,0.00335704
2.86667258,0.00427259
2.90000599,0.00824000
2.93333939,0.00732444
2.96667279,0.00824000
3.00000619,0.01236000
3.03333959,0.00915555
3.06667300,0.01037629
3.10000640,0.01251259
3.13333980,0.01251259
3.16667320,0.01174963
3.20000660,0.01251259
3.23334001,0.00915555
3.26667341,0.01190222
3.30000681,0.01251259
3.33334021,0.01007111
3.36667361,0.01236000
3.40000702,0.01388592
3.43334042,0.01174963
3.46667382,0.01739555
3.50000722,0.01770074
3.53334063,0.01541185
3.56667403,0.01602222
3.60000743,0.01876888
3.63334083,0.01373333
3.66667423,0.01846370
3.70000764,0.01892148
3.73334104,0.01464888
3.76667444,0.01846370
3.80000784,0.01968444
3.83334124,0.01556444
3.86667465,0.02029481
3.90000805,0.01678518
3.93334145,0.01678518
3.96667485,0.01709037
4.00000826,0.02014222
4.03334166,0.02197333
4.06667506,0.02578814
4.10000846,0.02319407
4.13334186,0.02685629
4.16667527,0.02487259
4.20000867,0.02471999
4.23334207,0.02243111
4.26667547,0.02517777
4.30000887,0.02380444
4.33334228,0.02212592
4.36667568,0.02700888
4.40000908,0.02319407
4.43334248,0.01892148
4.46667589,0.02105777
4.50000929,0.02319407
4.53334269,0.02044740
4.56667609,0.02395703
4.60000949,0.02563555
4.63334290,0.02212592
4.66667630,0.02288888
4.70000970,0.02655110
4.73334310,0.02273629
4.76667650,0.02563555
4.80000991,0.02883999
4.83334331,0.02349925
4.86667671,0.02517777
4.90001011,0.02731407
4.93334351,0.02441481
4.96667692,0.02624592
5.00001032,0.02578814
5.03334372,0.01907407
5.06667712,0.02655110
5.10001053,0.02410962
5.13334393,0.02166814
5.16667733,0.02838221
5.20001073,0.02441481
5.23334413,0.02380444
5.26667754,0.02609333
5.30001094,0.02227851
5.33334434,0.02212592
5.36667774,0.02609333
5.40001114,0.02258370
5.43334455,0.02243111
5.46667795,0.02822962
5.50001135,0.02288888
5.53334475,0.02365185
5.56667816,0.02136296
5.60001156,0.02288888
5.63334496,0.01983703
5.66667836,0.02121036
