Time,Channel A
(s),(V)

0.00000000,-0.02502518
0.03333340,-0.02594073
0.06666680,-0.02334666
0.10000021,-0.02548296
0.13333361,-0.02670370
0.16666701,-0.02517777
0.20000041,-0.02578814
0.23333381,-0.02594073
0.26666722,-0.02349925
0.30000062,-0.02502518
0.33333402,-0.02716147
0.36666742,-0.02212592
0.40000083,-0.02395703
0.43333423,-0.02517777
0.46666763,-0.02548296
0.50000103,-0.02349925
0.53333443,-0.02655110
0.56666784,-0.02105777
0.60000124,-0.02288888
0.63333464,-0.02761925
0.66666804,-0.02395703
0.70000144,-0.02487259
0.73333485,-0.02716147
0.76666825,-0.02151555
0.80000165,-0.02533036
0.83333505,-0.01922666
0.86666846,-0.02151555
0.90000186,-0.02212592
0.93333526,-0.02716147
0.96666866,-0.02029481
1.00000206,-0.02410962
1.03333547,-0.02594073
1.06666887,-0.02533036
1.10000227,-0.02395703
1.13333567,-0.02945036
1.16666907,-0.02365185
1.20000248,-0.02410962
1.23333588,-0.02746666
1.26666928,-0.02258370
1.30000268,-0.02471999
1.33333609,-0.02655110
1.36666949,-0.02014222
1.40000289,-0.02410962
1.43333629,-0.02548296
1.46666969,-0.02121036
1.50000310,-0.02334666
1.53333650,-0.02395703
1.56666990,-0.02502518
1.60000330,-0.02380444
1.63333670,-0.02548296
1.66667011,-0.02700888
1.70000351,-0.02517777
1.73333691,-0.02502518
1.76667031,-0.02487259
1.80000371,-0.02395703
1.83333712,-0.02487259
1.86667052,-0.02121036
1.90000392,-0.02365185
1.93333732,-0.02456740
1.96667073,-0.02334666
2.00000413,-0.02349925
2.03333753,-0.02594073
2.06667093,-0.02090518
2.10000433,-0.02365185
2.13333774,-0.02487259
2.16667114,-0.02227851
2.20000454,-0.02456740
2.23333794,-0.02471999
2.26667134,-0.02090518
2.30000475,-0.02456740
2.33333815,-0.02471999
2.36667155,-0.01998962
2.40000495,-0.02243111
2.43333836,-0.02517777
2.46667176,-0.02136296
2.50000516,-0.02258370
2.53333856,-0.02578814
2.56667196,-0.02059999
2.60000537,-0.02151555
2.63333877,-0.02670370
2.66667217,-0.02014222
2.70000557,-0.02288888
2.73333897,-0.02578814
2.76667238,-0.02090518
2.80000578,-0.02212592
2.83333918,-0.02700888
2.86667258,-0.02059999
2.90000599,-0.02288888
2.93333939,-0.02655110
2.96667279,-0.02243111
3.00000619,-0.02304148
3.03333959,-0.02594073
3.06667300,-0.02380444
3.10000640,-0.02212592
3.13333980,-0.02594073
3.16667320,-0.02365185
3.20000660,-0.02227851
3.23334001,-0.02670370
3.26667341,-0.02365185
3.30000681,-0.02456740
3.33334021,-0.02639851
3.36667361,-0.02304148
3.40000702,-0.02258370
3.43334042,-0.02533036
3.46667382,-0.02258370
3.50000722,-0.02456740
3.53334063,-0.02456740
3.56667403,-0.02243111
3.60000743,-0.02395703
3.63334083,-0.02624592
3.66667423,-0.02258370
3.70000764,-0.02288888
3.73334104,-0.02624592
3.76667444,-0.02365185
3.80000784,-0.02212592
3.83334124,-0.02410962
3.86667465,-0.02349925
3.90000805,-0.02410962
3.93334145,-0.02487259
3.96667485,-0.02136296
4.00000826,-0.02044740
4.03334166,-0.02533036
4.06667506,-0.02487259
4.10000846,-0.02304148
4.13334186,-0.02517777
4.16667527,-0.02258370
4.20000867,-0.02227851
4.23334207,-0.02792444
4.26667547,-0.02456740
4.30000887,-0.02212592
4.33334228,-0.02883999
4.36667568,-0.02471999
4.40000908,-0.02380444
4.43334248,-0.02853481
4.46667589,-0.02578814
4.50000929,-0.02594073
4.53334269,-0.02502518
4.56667609,-0.02410962
4.60000949,-0.02059999
4.63334290,-0.02899258
4.66667630,-0.02380444
4.70000970,-0.02456740
4.73334310,-0.02609333
4.76667650,-0.02548296
4.80000991,-0.02227851
4.83334331,-0.02731407
4.86667671,-0.02380444
4.90001011,-0.02395703
4.93334351,-0.02655110
4.96667692,-0.02365185
5.00001032,-0.02151555
5.03334372,-0.02365185
5.06667712,-0.02273629
5.10001053,-0.02288888
5.13334393,-0.02761925
5.16667733,-0.02334666
5.20001073,-0.02182074
5.23334413,-0.02609333
5.26667754,-0.02517777
5.30001094,-0.02151555
5.33334434,-0.02578814
5.36667774,-0.02380444
5.40001114,-0.02380444
