Time,Channel A
(s),(V)

0.00000000,-0.02456740
0.06666670,-0.02380444
0.13333340,-0.02487259
0.20000010,-0.02609333
0.26666680,-0.02456740
0.33333350,-0.02395703
0.40000020,-0.02456740
0.46666690,-0.02166814
0.53333360,-0.02334666
0.60000030,-0.02548296
0.66666700,-0.02639851
0.73333370,-0.02365185
0.80000040,-0.02594073
0.86666710,-0.02548296
0.93333380,-0.02426222
1.00000050,-0.02349925
1.06666720,-0.02258370
1.13333390,-0.02288888
1.20000060,-0.02258370
1.26666730,-0.02105777
1.33333400,-0.02365185
1.40000070,-0.02334666
1.46666740,-0.02227851
1.53333410,-0.02502518
1.60000080,-0.02121036
1.66666750,-0.02365185
1.73333420,-0.02212592
1.80000090,-0.02304148
1.86666760,-0.02212592
1.93333430,-0.02410962
2.00000100,-0.02349925
2.06666770,-0.02365185
2.13333440,-0.02426222
2.20000110,-0.02304148
2.26666780,-0.02090518
2.33333450,-0.02716147
2.40000120,-0.02334666
2.46666790,-0.02334666
2.53333460,-0.02334666
2.60000130,-0.02243111
2.66666800,-0.02380444
2.73333470,-0.02487259
2.80000140,-0.02212592
2.86666810,-0.02380444
2.93333480,-0.02365185
3.00000150,-0.02502518
3.06666820,-0.02395703
3.13333490,-0.02533036
3.20000160,-0.02166814
3.26666830,-0.02365185
3.33333500,-0.02334666
3.40000170,-0.02456740
3.46666840,-0.02456740
3.53333510,-0.02227851
3.60000180,-0.02136296
3.66666850,-0.02227851
3.73333520,-0.02456740
3.80000190,-0.02334666
3.86666860,-0.02960295
3.93333530,-0.02410962
4.00000200,-0.02609333
4.06666870,-0.02349925
4.13333540,-0.02212592
4.20000210,-0.02243111
4.26666880,-0.02258370
4.33333550,-0.02380444
4.40000220,-0.02410962
4.46666890,-0.02426222
4.53333560,-0.02334666
4.60000230,-0.02288888
4.66666900,-0.02578814
4.73333570,-0.02334666
4.80000240,-0.02212592
4.86666910,-0.02487259
4.93333580,-0.02059999
5.00000250,-0.02380444
5.06666920,-0.02121036
5.13333590,-0.02288888
5.20000260,-0.02212592
5.26666930,-0.02456740
5.33333600,-0.02243111
5.40000270,-0.02380444
5.46666940,-0.02212592
5.53333610,-0.02090518
5.60000280,-0.02166814
5.66666950,-0.02166814
5.73333620,-0.02014222
5.80000290,-0.02105777
5.86666960,-0.02288888
5.93333630,-0.02182074
6.00000300,-0.02029481
6.06666970,-0.01968444
6.13333640,-0.02243111
6.20000309,-0.02487259
6.26666979,-0.02151555
6.33333649,-0.02288888
6.40000319,-0.02105777
6.46666989,-0.02243111
6.53333659,-0.02044740
6.60000329,-0.02349925
6.66666999,-0.02258370
6.73333669,-0.02121036
6.80000339,-0.02304148
6.86667009,-0.02151555
6.93333679,-0.02182074
7.00000349,-0.02349925
7.06667019,-0.02105777
7.13333689,-0.02136296
7.20000359,-0.02151555
7.26667029,-0.01770074
7.33333699,-0.02014222
7.40000369,-0.02410962
7.46667039,-0.02334666
7.53333709,-0.01937925
7.60000379,-0.02273629
7.66667049,-0.02121036
7.73333719,-0.02212592
7.80000389,-0.02166814
7.86667059,-0.01876888
7.93333729,-0.02151555
8.00000399,-0.02151555
8.06667069,-0.01846370
8.13333739,-0.02212592
8.20000409,-0.01968444
8.26667079,-0.02090518
8.33333749,-0.02029481
8.40000419,-0.01998962
8.46667089,-0.02044740
8.53333759,-0.02594073
8.60000429,-0.02227851
8.66667099,-0.02136296
8.73333769,-0.02090518
8.80000439,-0.02166814
8.86667109,-0.01876888
8.93333779,-0.02044740
9.00000449,-0.01937925
9.06667119,-0.02121036
9.13333789,-0.02151555
9.20000459,-0.02090518
9.26667129,-0.02044740
9.33333799,-0.02471999
9.40000469,-0.02059999
9.46667139,-0.01983703
9.53333809,-0.02136296
9.60000479,-0.01968444
9.66667149,-0.02273629
9.73333819,-0.02182074
9.80000489,-0.01770074
9.86667159,-0.02014222
9.93333829,-0.01968444
10.00000499,-0.01968444
10.06667169,-0.02090518
10.13333839,-0.02166814
10.20000509,-0.01846370
10.26667179,-0.02090518
10.33333849,-0.02014222
10.40000519,-0.02014222
10.46667189,-0.02121036
10.53333859,-0.02014222
10.60000529,-0.01861629
10.66667199,-0.01968444
10.73333869,-0.02227851
10.80000539,-0.02090518
