Time,Channel A
(s),(V)

0.00000000,-0.02059999
0.03333340,-0.02121036
0.06666680,-0.02716147
0.10000021,-0.02121036
0.13333361,-0.01800592
0.16666701,-0.02227851
0.20000041,-0.01983703
0.23333381,-0.01785333
0.26666722,-0.02151555
0.30000062,-0.01922666
0.33333402,-0.02029481
0.36666742,-0.02258370
0.40000083,-0.01922666
0.43333423,-0.01983703
0.46666763,-0.02227851
0.50000103,-0.01922666
0.53333443,-0.01968444
0.56666784,-0.02136296
0.60000124,-0.01815851
0.63333464,-0.01922666
0.66666804,-0.01968444
0.70000144,-0.01571703
0.73333485,-0.01846370
0.76666825,-0.01968444
0.80000165,-0.01434370
0.83333505,-0.01998962
0.86666846,-0.02227851
0.90000186,-0.01648000
0.93333526,-0.02029481
0.96666866,-0.02288888
1.00000206,-0.01785333
1.03333547,-0.01998962
1.06666887,-0.02105777
1.10000227,-0.01983703
1.13333567,-0.02136296
1.16666907,-0.01892148
1.20000248,-0.01632740
1.23333588,-0.02121036
1.26666928,-0.02288888
1.30000268,-0.01724296
1.33333609,-0.02059999
1.36666949,-0.02487259
1.40000289,-0.01724296
1.43333629,-0.01983703
1.46666969,-0.02182074
1.50000310,-0.01937925
1.53333650,-0.01800592
1.56666990,-0.02136296
1.60000330,-0.01846370
1.63333670,-0.02014222
1.66667011,-0.02151555
1.70000351,-0.02121036
1.73333691,-0.02044740
1.76667031,-0.02258370
1.80000371,-0.01785333
1.83333712,-0.02059999
1.86667052,-0.02212592
1.90000392,-0.01800592
1.93333732,-0.01968444
1.96667073,-0.01968444
2.00000413,-0.01861629
2.03333753,-0.02044740
2.06667093,-0.02212592
2.10000433,-0.01693777
2.13333774,-0.01907407
2.16667114,-0.02105777
2.20000454,-0.01754814
2.23333794,-0.01907407
2.26667134,-0.02090518
2.30000475,-0.01968444
2.33333815,-0.02136296
2.36667155,-0.02090518
2.40000495,-0.01648000
2.43333836,-0.02258370
2.46667176,-0.02044740
2.50000516,-0.01785333
2.53333856,-0.01983703
2.56667196,-0.02166814
2.60000537,-0.01937925
2.63333877,-0.02334666
2.66667217,-0.02182074
2.70000557,-0.01800592
2.73333897,-0.02349925
2.76667238,-0.02029481
2.80000578,-0.01983703
2.83333918,-0.02334666
2.86667258,-0.02044740
2.90000599,-0.01724296
2.93333939,-0.02029481
2.96667279,-0.02090518
3.00000619,-0.01968444
3.03333959,-0.01907407
3.06667300,-0.02059999
3.10000640,-0.02044740
3.13333980,-0.02105777
3.16667320,-0.01892148
3.20000660,-0.01602222
3.23334001,-0.02090518
3.26667341,-0.02121036
3.30000681,-0.01693777
3.33334021,-0.02502518
3.36667361,-0.02029481
3.40000702,-0.01937925
3.43334042,-0.02121036
3.46667382,-0.01892148
3.50000722,-0.01922666
3.53334063,-0.02258370
3.56667403,-0.01983703
3.60000743,-0.01770074
3.63334083,-0.02044740
3.66667423,-0.01846370
3.70000764,-0.01739555
3.73334104,-0.02136296
3.76667444,-0.01983703
3.80000784,-0.01602222
3.83334124,-0.02182074
3.86667465,-0.01968444
3.90000805,-0.01922666
3.93334145,-0.02349925
3.96667485,-0.01892148
4.00000826,-0.01892148
4.03334166,-0.02288888
4.06667506,-0.01754814
4.10000846,-0.01846370
4.13334186,-0.02212592
4.16667527,-0.01907407
4.20000867,-0.01876888
4.23334207,-0.02059999
4.26667547,-0.01800592
4.30000887,-0.01876888
4.33334228,-0.01937925
4.36667568,-0.01724296
4.40000908,-0.01968444
4.43334248,-0.02182074
4.46667589,-0.01937925
4.50000929,-0.01785333
4.53334269,-0.02044740
4.56667609,-0.01663259
4.60000949,-0.01815851
4.63334290,-0.02044740
4.66667630,-0.01541185
4.70000970,-0.01907407
4.73334310,-0.02090518
4.76667650,-0.01541185
4.80000991,-0.02014222
4.83334331,-0.01861629
4.86667671,-0.01632740
4.90001011,-0.01846370
4.93334351,-0.01983703
4.96667692,-0.01922666
5.00001032,-0.01892148
5.03334372,-0.01678518
5.06667712,-0.01739555
5.10001053,-0.02014222
5.13334393,-0.02151555
5.16667733,-0.01525925
5.20001073,-0.01968444
5.23334413,-0.02121036
5.26667754,-0.01113926
5.30001094,-0.01907407
5.33334434,-0.02121036
5.36667774,-0.01556444
5.40001114,-0.01800592
